id_ipa;id_site;site_name;observator;year;date;fuli_atra;gall_chlo;anas_plat;cygn_olor;podi_cris;area_cine;acci_nisu;falc_subb;falc_tinn;colu_palu;colu_oena;colu_livi;stre_deca;cucu_cano;picu_viri;dend_majo;alce_atth;apus_apus;alau_arve;mota_cine;mota_alba;hiru_rust;deli_urbi;paru_majo;cyan_caer;aegi_caud;fice_hypo;sitt_euro;cert_brac;trog_trog;sylv_atri;sylv_comm;sylv_curr;phyl_troc;phyl_coll;erit_rube;turd_meru;phoe_ochr;phoe_phoe;lusc_mega;saxi_rube;chlo_chlo;card_card;frin_coel;lina_cann;seri_seri;pass_dome;embe_cirl;stur_vulg;corv_coro;pica_pica;corv_mone;corv_frug;garr_glan
IPA042;IPA 22-04;nichoir_331_rue_marcs_dor;BFa;2022;20/04/2022;;;;;;;;;;1,5;;;2;;;;;;;;;;;1;1;1;;;;;1;;;;1;;2;;;;;1;1;1,5;;0,5;4;;;;0,5;;;0,5
IPA043;IPA 22-05;nichoir_362_rue_transvaal;BFa;2022;22/04/2022;;;;;;;;;;;;0,5;1;;;;;;;;;;1;1;;;;;;;1;;;;;;1;1;;;;;;;;;2;;;0,5;0,5;;;
IPA044;IPA 22-06;nichoir_383_rue_turgot;BFa;2022;22/04/2022;;;;;;;;;;1;;0,5;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;2;;;0,5;;;;
IPA045;IPA 22-07;nichoir_301_rue_monge;BFa;2022;25/04/2022;;;;;;;;;;2;1;1;2;;;;;;;;;;;2;;;;;;;1;;;;;;1;1;;;;;;;;;1;;;1;;;;
IPA046;IPA 22-08;angle_monge_crebillon;BFa;2022;25/04/2022;;;;;;;;;;;;2;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;0,5;;;;;2;;;0,5;;;;
IPA047;IPA 22-09;place_wilson;BFa;2022;25/04/2022;;;;;;;;;;2;;4;1;;;;;;;;;;;0,5;;;;;;;1;;;;;;2;;;;;1;1;;;;1,5;;;1,5;;;;
IPA048;IPA 22-10;rue_de_barante;BFa;2022;26/04/2022;;;;;;;;;;1,5;;;3;;;;;;;;;;;1;;;;;;;1;;;;;;2;2;1;;;;;;;;4;;;1;0,5;;;0,5
IPA049;IPA 22-11;nichoir_325_rue_st_jacob;BFa;2022;26/04/2022;;1;1,5;;;0,5;;;;2;;;2;;;;1;;;;;;;2;0,5;1;;;0,5;;2;;;1;1;;2;1;;1;0,5;0,5;1;;;;3,5;;0,5;1;1;;4;
IPA050;IPA 22-12;rue_charles_dumont;BFa;2022;26/04/2022;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;1;;;;;;2;1;;;;0,5;;;;;5;;;1,5;;;;
IPA051;IPA 22-13;st_bernard;BFa;2022;27/04/2022;;;;;;;;;0,5;;;5;1;;;;;;;;;;;1;0,5;;;;;;;;;;;;1;;;;;1;;;;;3,5;;;0,5;1;;;
